2021-04-12 16:16:16,015:INFO:this is serial logger
2021-04-12 16:16:26,047:INFO:[   41.583565] fpga_manager fpga0: writing aeqb-td-bitstream.core.rbf to Stratix10 SOC FPGA Manager

2021-04-12 16:16:50,173:INFO:[   62.482727] Stratix10 SoC FPGA manager soc:fpga-mgr@0: Requesting full reconfiguration.
[   63.814945] ccr_driver f9040000.ccr: CCR driver: Device 'ccr0' probed. ret:0!
[   63.830472] altera-i2c f9001800.i2c: Altera SoftIP I2C Probe Complete
[   63.838934] altera-i2c f90018c0.i2c: Altera SoftIP I2C Probe Complete
[   63.863595] Deasserting reset
[   63.866599] cco_driver 80300000.SM0_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb0' probed and ready!
[   63.895211] socfpga-dwmac ff802000.ethernet: PTP uses main clock
[   63.898907] Deasserting reset
[   63.899576] cco_driver 80310000.SM1_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb1' probed and ready!
[   63.903676] Deasserting reset
[   63.904472] cco_driver 80320000.RF0_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb2' probed and ready!
[   63.919487] Deasserting reset
[   63.920339] cco_driver 80330000.RF1_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb3' probed and ready!
[   63.923587] Deasserting reset
[   63.923931] cco_driver 80340000.RF2_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb4' probed and ready!
[   63.925507] Deasserting reset
[   63.925825] cco_driver 80350000.RF2B_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb5' probed and ready!
[   63.927215] Deasserting reset
[   63.927518] cco_driver 80380000.RF3_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb6' probed and ready!
[   63.928978] Deasserting reset
[   63.929296] cco_driver 80390000.RF3B_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb7' probed and ready!
[   63.930634] Deasserting reset
[   63.930925] cco_driver 80400000.RF4_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb8' probed and ready!
[   63.932404] Deasserting reset
[   63.932736] cco_driver 80410000.RF4B_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb9' probed and ready!
[   63.934011] Deasserting reset
[   63.934324] cco_driver 80420000.RF5_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb10' probed and ready!
[   63.935631] Deasserting reset
[   63.935971] cco_driver 80430000.RF5B_cpricore001_CPRICORE001: CPRICORE driver: Device 'conn_cgb11' probed and ready!
[   63.937424] Deasserting reset
