"Time","M1_external","M1_internal1","M1_internal2","M1_internal3","M1_internal4","M1_internal5","M1_internal6","M1_internal7","M1_trx1_4","M1_trx5_8","M1_pa1","M1_pa2","M1_pa3","M1_pa4","M1_pa5","M1_pa6","M1_pa7","M1_pa8","M2_external","M2_internal1","M2_internal2","M2_internal3","M2_internal4","M2_internal5","M2_internal6","M2_internal7","M2_trx9_12","M2_trx13_16","M2_pa9","M2_pa10","M2_pa11","M2_pa12","M2_pa13","M2_pa14","M2_pa15","M2_pa16","M3_external","M3_internal1","M3_internal2","M3_internal3","M3_internal4","M3_internal5","M3_internal6","M3_internal7","M3_trx17_20","M3_trx21_24","M3_pa17","M3_pa18","M3_pa19","M3_pa20","M3_pa21","M3_pa22","M3_pa23","M3_pa24","M4_external","M4_internal1","M4_internal2","M4_internal3","M4_internal4","M4_internal5","M4_internal6","M4_internal7","M4_trx25_28","M4_trx29_32","M4_pa25","M4_pa26","M4_pa27","M4_pa28","M4_pa29","M4_pa30","M4_pa31","M4_pa32","BM_core","BM_serdes"
2020-11-05 18:19:54.566211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-05 18:20:30.583645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168,
2020-11-05 18:21:06.601531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168,78.562
2020-11-05 18:21:42.621022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168,79.125
2020-11-05 18:22:10.946563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168,79.375
2020-11-05 18:22:37.118417,67.000,72.500,72.500,70.500,69.500,71.000,70.500,71.000,64.000,65.000,63.625,63.062,63.500,63.750,65.000,63.562,63.000,63.062,67.000,70.500,70.000,70.500,70.000,69.000,70.500,66.000,66.000,66.000,62.438,62.625,64.062,64.375,64.312,62.938,62.812,63.438,67.500,70.000,68.500,71.000,70.500,71.000,73.500,72.000,65.500,65.500,62.812,63.562,64.688,63.875,65.125,65.062,64.625,62.750,66.000,73.000,70.500,70.500,68.500,69.500,69.500,68.500,66.000,64.000,62.188,62.750,63.125,64.312,64.500,63.062,63.812,62.250,192.168,79.562
2020-11-05 18:23:03.238035,67.000,72.500,72.500,72.500,71.500,72.000,71.500,71.000,64.000,65.000,63.688,63.125,63.562,63.875,65.062,63.625,63.062,63.125,67.500,71.500,69.000,71.500,70.000,69.000,69.500,67.500,66.000,66.000,62.438,62.625,64.062,64.375,64.375,62.938,62.812,63.500,68.000,71.500,69.500,72.000,71.500,72.000,71.500,73.000,65.500,65.500,62.875,63.688,64.750,63.938,65.250,65.125,64.688,62.812,66.000,73.000,70.500,72.000,68.500,69.500,69.500,68.500,66.000,64.000,62.125,62.750,63.125,64.375,64.562,63.062,63.812,62.250,75.375,79.688
2020-11-05 18:23:29.378031,67.000,72.500,70.500,71.500,71.500,73.000,71.500,71.000,64.000,65.000,63.688,63.188,63.625,63.938,65.125,63.688,63.125,63.188,67.500,72.500,69.000,71.500,70.000,70.000,70.500,68.500,66.000,66.000,62.375,62.625,64.062,64.438,64.375,63.000,62.812,63.438,68.000,71.500,69.500,72.000,72.500,73.000,72.500,72.000,65.500,65.500,62.875,63.750,64.812,64.000,65.312,65.188,64.750,62.875,66.500,73.000,70.500,72.000,67.500,69.500,69.500,69.500,66.000,64.000,62.125,62.688,63.125,64.375,64.562,63.062,63.812,62.250,192.168,79.750
2020-11-05 18:23:55.507773,67.000,72.500,70.500,71.500,71.500,72.000,71.500,70.000,64.000,65.000,63.750,63.250,63.688,64.000,65.188,63.750,63.188,63.188,67.500,71.500,69.000,71.500,70.000,69.000,70.500,68.500,66.000,66.000,62.375,62.625,64.062,64.375,64.375,63.000,62.812,63.438,68.000,71.500,70.500,72.000,71.500,73.000,73.500,72.000,65.500,65.500,62.938,63.750,64.875,64.062,65.375,65.250,64.750,62.875,66.500,73.000,71.500,72.000,68.500,69.500,69.500,68.500,66.000,64.000,62.125,62.688,63.125,64.375,64.562,63.062,63.812,62.188,75.375,79.875
2020-11-05 18:24:21.646800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-05 18:24:57.671309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-05 18:25:33.687903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-05 18:26:09.708669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.168,78.250
2020-11-05 18:26:45.726794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.125,78.812
2020-11-05 18:27:11.880721,66.000,72.500,70.500,70.500,69.500,71.000,70.500,69.000,63.500,64.000,62.750,62.188,62.562,62.812,64.062,62.625,62.125,62.312,66.000,70.500,69.000,71.500,69.000,69.000,69.500,66.000,65.000,65.000,61.562,61.688,63.062,63.375,63.312,61.938,61.812,62.500,66.500,70.000,68.500,72.000,69.500,71.000,71.500,72.000,64.500,64.500,62.000,62.750,63.750,62.938,64.250,64.125,63.750,61.938,65.000,72.000,69.500,70.500,67.500,67.500,68.000,67.000,65.000,63.500,61.312,61.750,62.125,63.312,63.500,62.062,62.812,61.312,192.168,78.938
